image_name,ground_truth,bbox
1033.jpg,animal,"[600.840192, 1200.893952, 118.642688, 169.411584]"
1034.jpg,animal,"[795.754496, 1229.128704, 276.832256, 127.05884160000001]"
1035.jpg,animal,"[1136.951296, 1283.3111040000001, 150.632448, 173.87059200000002]"
1036.jpg,animal,"[1451.39712, 1238.121984, 234.360832, 184.101888]"
1037.jpg,animal,"[1451.114496, 1234.776576, 231.634944, 177.882624]"
1038.jpg,animal,"[1168.631808, 1319.482368, 186.438656, 183.52895999999998]"
1039.jpg,animal,"[1151.61088, 1315.49952, 185.8514944, 174.84288]"
104.jpg,animal,"[505.208832, 1187.997696, 433.696768, 163.411968]"
1040.jpg,animal,"[1112.133632, 1274.3055359999998, 194.9130752, 175.059456]"
1041.jpg,animal,"[998.572032, 1172.255232, 201.2186624, 165.808128]"
1042.jpg,animal,"[1012.69504, 1200.49152, 240.766976, 95.2192512]"
1043.jpg,animal,"[1072.586752, 1198.070784, 310.730752, 98.82347519999999]"
1044.jpg,animal,"[1202.528256, 1181.128704, 206.21312, 127.05884160000001]"
1045.jpg,animal,"[1222.303744, 1195.2476159999999, 223.162368, 129.8823168]"
1046.jpg,animal,"[1262.104576, 1200.771072, 235.89888, 134.048256]"
1047.jpg,animal,"[620.613632, 1263.011328, 155.3655808, 115.76463360000001]"
1048.jpg,animal,"[614.965248, 1251.71712, 121.4674944, 121.41173760000001]"
1049.jpg,animal,"[623.439872, 1265.834496, 172.3144192, 104.4705792]"
105.jpg,animal,"[358.705152, 1214.126592, 508.831744, 281.95584]"
1050.jpg,animal,"[609.314816, 1251.71712, 166.6648064, 118.58826239999999]"
1051.jpg,animal,"[652.120064, 1282.773504, 235.124736, 149.8458624]"
1052.jpg,animal,"[821.17632, 1243.2476159999999, 175.1392256, 127.05884160000001]"
1053.jpg,animal,"[891.797504, 1234.776576, 96.0442368, 138.352896]"
1054.jpg,animal,"[883.32288, 1234.776576, 110.1682688, 141.1765248]"
1055.jpg,animal,"[790.104064, 1234.776576, 206.21312, 132.7059456]"
1056.jpg,animal,"[451.125248, 1246.070784, 228.810752, 101.647104]"
1057.jpg,animal,"[603.666432, 1152.893952, 214.687744, 112.94115839999999]"
1058.jpg,animal,"[549.994496, 1110.541824, 149.715968, 101.647104]"
1059.jpg,animal,"[719.48288, 1169.834496, 90.3944192, 138.352896]"
106.jpg,animal,"[448.301056, 732.18816, 163.84, 146.8234752]"
1060.jpg,animal,"[677.111808, 1158.541824, 180.7890432, 107.2940544]"
1061.jpg,animal,"[552.818688, 1119.011328, 144.0661504, 90.352896]"
1062.jpg,animal,"[547.168256, 1110.541824, 146.8909568, 93.17652480000001]"
1063.jpg,animal,"[552.818688, 1127.482368, 262.709248, 93.17652480000001]"
1064.jpg,animal,"[705.359872, 1119.011328, 197.7378816, 132.7059456]"
1065.jpg,animal,"[1123.434496, 1344.893952, 217.511936, 160.940544]"
1066.jpg,animal,"[1119.496192, 1343.702016, 227.444736, 161.36448]"
1067.jpg,animal,"[1267.501056, 1311.011328, 245.76, 192.0]"
1068.jpg,animal,"[1417.216, 1246.070784, 367.22688, 155.294208]"
1069.jpg,animal,"[1309.872128, 1246.070784, 186.438656, 259.765248]"
107.jpg,animal,"[470.898688, 740.6592, 146.8909568, 135.5294208]"
1070.jpg,animal,"[640.38912, 1322.3055359999998, 437.848064, 146.8234752]"
1071.jpg,animal,"[1140.383744, 1381.599744, 206.21312, 115.76463360000001]"
1072.jpg,animal,"[1134.733312, 1308.1881600000002, 240.109568, 189.176832]"
1073.jpg,animal,"[1103.661056, 1291.2476159999999, 274.008064, 211.76524799999999]"
1074.jpg,animal,"[1328.891904, 1221.731328, 384.929792, 240.89856]"
1075.jpg,animal,"[1016.090624, 1263.011328, 183.6138496, 129.8823168]"
1076.jpg,animal,"[973.717504, 1234.776576, 203.3874944, 160.940544]"
1077.jpg,animal,"[1329.645568, 1215.011328, 381.351936, 254.117376]"
1078.jpg,animal,"[1330.501632, 1231.300608, 376.834048, 233.32608000000002]"
1079.jpg,animal,"[1339.50464, 1223.665152, 372.998144, 251.601408]"
108.jpg,animal,"[1216.653312, 672.893952, 372.877312, 172.234752]"
1080.jpg,animal,"[1334.790144, 1222.127616, 379.961344, 243.320832]"
1081.jpg,animal,"[1598.005248, 1150.070784, 118.642688, 79.0588416]"
1082.jpg,animal,"[1496.311808, 1243.2476159999999, 324.855808, 163.765248]"
1083.jpg,animal,"[733.607936, 1319.482368, 347.45344, 163.765248]"
1084.jpg,animal,"[691.234816, 1333.599744, 370.05312, 155.294208]"
1085.jpg,animal,"[1516.2368, 1255.959552, 399.94368, 161.08032]"
1086.jpg,animal,"[1363.544064, 1251.71712, 355.928064, 158.117376]"
1087.jpg,animal,"[1524.559872, 1248.893952, 403.949568, 163.765248]"
1088.jpg,animal,"[1541.50912, 1172.6592, 392.650752, 248.47104]"
1089.jpg,animal,"[1654.501376, 1254.541824, 387.002368, 189.176832]"
109.jpg,animal,"[634.157056, 745.354752, 209.793024, 181.406208]"
1090.jpg,animal,"[1097.035776, 1284.888576, 116.9360896, 173.08569599999998]"
1091.jpg,animal,"[1108.334592, 1284.888576, 187.5566592, 215.43936]"
1092.jpg,animal,"[1007.616, 1277.128704, 211.861504, 121.41173760000001]"
1093.jpg,animal,"[999.141376, 1268.6592, 206.21312, 135.5294208]"
1094.jpg,animal,"[1006.116864, 1232.475648, 186.1965824, 169.414656]"
1095.jpg,animal,"[708.184064, 1203.71712, 166.6648064, 76.2352128]"
1096.jpg,animal,"[999.141376, 1164.1881600000002, 104.518656, 98.82347519999999]"
1097.jpg,animal,"[1010.440192, 1158.541824, 104.518656, 112.94115839999999]"
1098.jpg,animal,"[1013.266432, 1215.011328, 228.810752, 127.05884160000001]"
1099.jpg,animal,"[1010.440192, 1212.1881600000002, 279.658496, 104.4705792]"
11.jpg,animal,"[1057.54944, 923.33628, 368.31936, 131.35175999999998]"
110.jpg,animal,"[558.46912, 715.247616, 259.885056, 208.94054400000002]"
1100.jpg,animal,"[1299.369984, 1220.427264, 253.184, 143.24259840000002]"
1101.jpg,animal,"[1823.991808, 1144.422912, 224.008192, 350.11737600000004]"
1102.jpg,animal,"[1148.858368, 1110.541824, 285.30688, 172.234752]"
1103.jpg,animal,"[1049.98912, 1192.422912, 223.162368, 84.70594559999999]"
1104.jpg,animal,"[0.0, 1305.364992, 332.48256, 160.940544]"
1105.jpg,animal,"[1504.786432, 1231.953408, 152.5407744, 192.0]"
1106.jpg,animal,"[1504.720896, 1230.713856, 153.9115008, 202.318848]"
1107.jpg,animal,"[1490.661376, 1243.2476159999999, 175.1392256, 180.705792]"
1108.jpg,animal,"[1490.714624, 1235.484672, 173.4682624, 195.21484800000002]"
1109.jpg,animal,"[1487.048704, 1245.5715839999998, 176.52224, 181.069824]"
111.jpg,animal,"[640.01024, 733.215744, 212.303872, 179.575296]"
1110.jpg,animal,"[0.0, 1313.834496, 327.68, 124.23536639999999]"
1111.jpg,animal,"[1637.552128, 1251.71712, 367.22688, 189.176832]"
1112.jpg,animal,"[0.0, 1121.834496, 106.496, 107.2940544]"
1113.jpg,animal,"[431.351808, 1099.2476159999999, 279.658496, 101.647104]"
1114.jpg,animal,"[109.3208064, 1099.2476159999999, 299.431936, 124.23536639999999]"
1115.jpg,animal,"[1052.813312, 1260.1881600000002, 138.4165376, 135.5294208]"
1116.jpg,animal,"[544.344064, 1113.364992, 177.9642368, 112.94115839999999]"
1117.jpg,animal,"[1037.481984, 1263.447552, 165.347328, 133.9874304]"
1118.jpg,animal,"[566.943744, 1121.834496, 152.5407744, 93.17652480000001]"
1119.jpg,animal,"[1037.963264, 1261.6565759999999, 151.0791168, 143.49926399999998]"
112.jpg,animal,"[165.817344, 692.6592, 254.234624, 101.647104]"
1120.jpg,animal,"[1044.338688, 1257.364992, 146.8909568, 144.0]"
1121.jpg,animal,"[1048.653824, 1253.747712, 139.201536, 155.66745600000002]"
1122.jpg,animal,"[781.62944, 1135.953408, 98.8690432, 121.41173760000001]"
1123.jpg,animal,"[838.125568, 1150.070784, 132.7669248, 87.5294208]"
1124.jpg,animal,"[755.1488, 1062.6094079999998, 146.3103488, 183.280128]"
1125.jpg,animal,"[757.97504, 1062.6094079999998, 154.7849728, 174.809088]"
1126.jpg,animal,"[750.557184, 1147.2476159999999, 276.832256, 104.4705792]"
1127.jpg,animal,"[1518.90944, 1282.776576, 384.176128, 158.117376]"
1128.jpg,animal,"[1276.93824, 1205.071872, 323.436544, 149.3047296]"
1129.jpg,animal,"[1202.763776, 1185.813504, 269.139968, 124.5523968]"
113.jpg,animal,"[329.658368, 675.71712, 180.7890432, 118.58826239999999]"
1130.jpg,animal,"[1210.51136, 1183.030272, 190.4031744, 130.4174592]"
1131.jpg,animal,"[1205.354496, 1178.3055359999998, 96.0442368, 98.82347519999999]"
1132.jpg,animal,"[990.666752, 1186.776576, 257.058816, 84.70594559999999]"
1133.jpg,animal,"[1651.677184, 1361.834496, 271.183872, 149.647104]"
1134.jpg,animal,"[1747.720192, 1347.71712, 203.3874944, 149.647104]"
1135.jpg,animal,"[1829.640192, 1330.776576, 124.2925056, 146.8234752]"
1136.jpg,animal,"[1812.690944, 1339.2476159999999, 132.7669248, 149.647104]"
1137.jpg,animal,"[1805.858816, 1339.932672, 144.0262144, 124.01218560000001]"
1138.jpg,animal,"[1730.33472, 1261.120512, 260.630528, 129.6933888]"
1139.jpg,animal,"[1712.652288, 1253.893632, 288.813056, 148.03584]"
114.jpg,animal,"[1079.7024, 646.7202, 166.841472, 97.941204]"
1140.jpg,animal,"[1679.925248, 1268.6592, 259.885056, 121.41173760000001]"
1141.jpg,animal,"[1454.311424, 1218.087936, 261.330944, 143.16641280000002]"
1142.jpg,animal,"[1496.311808, 1237.599744, 231.634944, 124.23536639999999]"
1143.jpg,animal,"[575.41632, 1119.011328, 163.84, 112.94115839999999]"
1144.jpg,animal,"[575.78496, 1115.693568, 158.2145536, 100.460544]"
1145.jpg,animal,"[575.41632, 1116.1881600000002, 158.1903872, 98.82347519999999]"
1146.jpg,animal,"[581.066752, 1113.364992, 152.5407744, 96.0]"
1147.jpg,animal,"[572.592128, 1119.011328, 155.3655808, 81.88231680000001]"
1148.jpg,animal,"[1214.017536, 1365.955584, 151.620608, 140.0045568]"
1149.jpg,animal,"[1208.178688, 1359.011328, 158.1903872, 146.8234752]"
115.jpg,animal,"[1145.90976, 593.77968, 119.17248, 137.64708000000002]"
1150.jpg,animal,"[1210.046464, 1369.7295359999998, 156.2013696, 134.44961279999998]"
1151.jpg,animal,"[1188.405248, 1330.776576, 231.634944, 172.234752]"
1152.jpg,animal,"[1196.879872, 1356.1881600000002, 225.98656, 146.8234752]"
1153.jpg,animal,"[1182.754816, 1316.6592, 355.928064, 183.52895999999998]"
1154.jpg,animal,"[626.264064, 1342.070784, 398.301184, 144.0]"
1155.jpg,animal,"[1157.330944, 1299.71712, 395.474944, 200.47104]"
1156.jpg,animal,"[1174.280192, 1311.011328, 370.05312, 189.176832]"
1157.jpg,animal,"[1377.66912, 1251.71712, 415.250432, 197.64633600000002]"
1158.jpg,animal,"[1549.983744, 1223.482368, 370.05312, 192.0]"
1159.jpg,animal,"[1449.875456, 1241.97888, 264.527872, 197.319168]"
116.jpg,animal,"[1103.53728, 646.7202, 137.710272, 100.588284]"
1160.jpg,animal,"[1445.175296, 1244.269056, 271.331328, 195.74784]"
1161.jpg,animal,"[966.350848, 1135.199232, 136.8559616, 104.13081600000001]"
1162.jpg,animal,"[951.119872, 1138.776576, 149.715968, 101.647104]"
1163.jpg,animal,"[779.634688, 1135.469568, 208.615424, 129.51767040000001]"
1164.jpg,animal,"[638.840832, 1180.414464, 235.769856, 149.212416]"
1165.jpg,animal,"[1018.914816, 1316.6592, 319.205376, 180.705792]"
1166.jpg,animal,"[996.317184, 1305.364992, 327.68, 200.47104]"
1167.jpg,animal,"[919.76704, 1258.884096, 159.9563776, 156.0192]"
1168.jpg,animal,"[979.367936, 1296.893952, 288.13312, 192.0]"
1169.jpg,animal,"[939.48928, 1290.622464, 148.5316096, 145.0854912]"
117.jpg,animal,"[1161.79776, 567.30888, 116.524224, 195.88284000000002]"
1170.jpg,animal,"[742.08256, 1127.482368, 175.1392256, 132.7059456]"
1171.jpg,animal,"[699.70944, 1150.070784, 209.037312, 104.4705792]"
1172.jpg,animal,"[736.432128, 1107.71712, 169.4896128, 152.4705792]"
1173.jpg,animal,"[770.330624, 1183.953408, 169.4896128, 67.7647872]"
1174.jpg,animal,"[764.680192, 1175.482368, 163.84, 73.4117376]"
1175.jpg,animal,"[569.767936, 1104.893952, 290.957312, 135.5294208]"
1176.jpg,animal,"[575.41632, 1107.71712, 296.607744, 141.1765248]"
1177.jpg,animal,"[569.767936, 1102.070784, 285.30688, 155.294208]"
1178.jpg,animal,"[566.943744, 1104.893952, 288.13312, 146.8234752]"
1179.jpg,animal,"[575.41632, 1099.2476159999999, 285.30688, 146.8234752]"
118.jpg,animal,"[1143.26016, 583.19136, 113.875776, 169.41204]"
1180.jpg,animal,"[312.70912, 1265.834496, 415.250432, 203.294208]"
1181.jpg,animal,"[928.520192, 1271.482368, 355.928064, 220.23475200000001]"
1182.jpg,animal,"[1403.090944, 1175.482368, 401.125376, 228.705792]"
1183.jpg,animal,"[1403.21792, 1165.3247999999999, 398.262272, 249.93792000000002]"
1184.jpg,animal,"[199.7152256, 1288.422912, 189.2634624, 84.70594559999999]"
1185.jpg,animal,"[425.701376, 1243.2476159999999, 254.234624, 110.11768319999999]"
1186.jpg,animal,"[1244.901376, 1381.599744, 223.162368, 127.05884160000001]"
1187.jpg,animal,"[1228.388352, 1046.022144, 182.895616, 325.963776]"
1188.jpg,animal,"[404.217856, 1200.864768, 389.392384, 299.718144]"
1189.jpg,animal,"[1228.02432, 695.45844, 309.03551999999996, 157.45536]"
119.jpg,animal,"[1204.17024, 665.2497599999999, 74.15174400000001, 68.82354000000001]"
119.jpg,animal,"[1172.39232, 464.07384, 100.63449600000001, 235.58796]"
1190.jpg,animal,"[547.41504, 612.2390399999999, 133.29619200000002, 150.9084]"
1191.jpg,animal,"[670.944, 640.3795200000001, 247.22688, 178.15464]"
1192.jpg,animal,"[444.11519999999996, 556.72056, 124.468992, 177.35328]"
1193.jpg,animal,"[42.3725056, 1320.359424, 605.364224, 187.021824]"
1194.jpg,animal,"[159.9332352, 1270.374912, 479.981568, 245.23775999999998]"
1195.jpg,animal,"[295.04512, 1228.864512, 469.594112, 279.548928]"
1196.jpg,animal,"[413.720576, 1180.279296, 385.933312, 287.16748800000005]"
1197.jpg,animal,"[1130.82368, 1041.856512, 285.284352, 191.60985599999998]"
1198.jpg,animal,"[654.358528, 1112.718336, 388.302848, 243.25939200000002]"
1199.jpg,animal,"[666.396672, 1112.73216, 372.062208, 225.62611199999998]"
12.jpg,animal,"[1655.6121600000001, 943.40376, 158.63251200000002, 96.68916]"
120.jpg,animal,"[1173.61536, 485.42004000000003, 108.937152, 195.33096]"
1200.jpg,animal,"[657.922048, 1107.085824, 386.187264, 239.743488]"
1201.jpg,animal,"[0.405235712, 890.632704, 163.1680512, 260.783616]"
1202.jpg,animal,"[708.184064, 760.422912, 90.3944192, 73.4117376]"
1203.jpg,animal,"[764.680192, 746.305536, 76.2703872, 73.4117376]"
1204.jpg,animal,"[525.645824, 811.2798720000001, 107.6498432, 130.06325760000001]"
1205.jpg,animal,"[630.431744, 746.700288, 103.652352, 127.13349120000001]"
1206.jpg,animal,"[296.851456, 809.092608, 176.7268352, 237.540864]"
1207.jpg,animal,"[533.235712, 1170.48576, 312.9344, 331.106304]"
1208.jpg,animal,"[825.960448, 1096.118784, 267.771904, 210.594816]"
1209.jpg,animal,"[723.406848, 1069.658112, 257.275904, 287.107584]"
121.jpg,animal,"[1135.3152, 442.8972, 92.68972799999999, 174.7062]"
121.jpg,animal,"[1204.17024, 442.8972, 105.931008, 116.47044]"
1210.jpg,animal,"[737.531904, 1095.069696, 231.85408, 264.51916800000004]"
1211.jpg,animal,"[482.404352, 1147.485696, 325.459968, 364.429824]"
1212.jpg,animal,"[547.168256, 1017.364992, 316.381184, 175.059456]"
1213.jpg,animal,"[703.54944, 1094.267904, 204.6855168, 286.119936]"
1214.jpg,animal,"[725.46304, 1058.337792, 239.85152, 221.71545600000002]"
1215.jpg,animal,"[0.0, 1128.354816, 241.483776, 376.02816]"
1216.jpg,animal,"[0.0, 1122.706944, 241.483776, 376.02816]"
1217.jpg,animal,"[0.0, 1123.656192, 237.314048, 381.62688]"
1218.jpg,animal,"[0.0, 1131.667968, 242.016256, 362.297856]"
1219.jpg,animal,"[0.0, 1131.667968, 242.016256, 373.592064]"
122.jpg,animal,"[1135.3152, 405.83808, 161.544768, 140.29415999999998]"
122.jpg,animal,"[1090.29504, 517.01436, 185.379264, 132.35292]"
1220.jpg,animal,"[420.794368, 1170.430464, 837.009408, 334.216704]"
1221.jpg,animal,"[1545.96352, 1015.03488, 502.03648, 348.07756800000004]"
1222.jpg,animal,"[1198.374912, 1027.886592, 843.954176, 417.04243199999996]"
1223.jpg,animal,"[827.82208, 1061.955072, 801.370112, 367.69843199999997]"
1224.jpg,animal,"[1307.047936, 907.2476159999999, 203.3874944, 172.234752]"
1225.jpg,animal,"[1275.97568, 915.71712, 214.687744, 160.940544]"
1226.jpg,animal,"[1153.59744, 932.387328, 236.193792, 170.43456]"
1227.jpg,animal,"[521.449472, 1082.598912, 268.316672, 290.44224]"
1228.jpg,animal,"[733.069312, 994.526208, 292.603904, 229.948416]"
1229.jpg,animal,"[1053.483008, 952.095744, 212.799488, 173.672448]"
123.jpg,animal,"[1120.6022400000002, 383.05116000000004, 145.692864, 142.83108000000001]"
123.jpg,animal,"[1156.5024, 482.6034, 84.74476800000001, 195.88284000000002]"
1230.jpg,animal,"[488.568832, 1175.046144, 246.218752, 306.743808]"
1231.jpg,animal,"[491.638784, 1232.008704, 306.90304, 270.12249599999996]"
1232.jpg,animal,"[531.400704, 1167.88992, 308.180992, 335.698944]"
1233.jpg,animal,"[528.574464, 1167.88992, 316.655616, 335.698944]"
1234.jpg,animal,"[651.687936, 980.6591999999999, 192.0882688, 118.58826239999999]"
1235.jpg,animal,"[900.272128, 1042.776576, 177.9642368, 112.94115839999999]"
1236.jpg,animal,"[1075.093504, 1077.126144, 141.0289664, 100.13291520000001]"
1237.jpg,animal,"[1094.486016, 1045.848576, 132.5056, 135.23374080000002]"
1238.jpg,animal,"[1091.659776, 1048.671744, 132.5056, 138.05736960000002]"
1239.jpg,animal,"[1100.075008, 1041.2405760000001, 132.7644672, 147.51744]"
124.jpg,animal,"[1547.157504, 1037.128704, 420.898816, 200.47104]"
1240.jpg,animal,"[1094.033408, 1044.206592, 140.8815104, 150.9696]"
1241.jpg,animal,"[1088.382976, 1038.55872, 146.531328, 156.616704]"
1242.jpg,animal,"[1101.703168, 1041.552384, 125.9337728, 148.7136768]"
1243.jpg,animal,"[1105.6128, 1046.777856, 176.9940992, 147.1950336]"
1244.jpg,animal,"[53.9652096, 1131.197952, 688.320512, 335.0016]"
1245.jpg,animal,"[334.385152, 940.1809920000001, 146.4332288, 119.1977472]"
1246.jpg,animal,"[805.947392, 1038.713856, 236.361728, 131.9196672]"
1247.jpg,animal,"[998.11328, 1026.50112, 154.006528, 149.1737088]"
1248.jpg,animal,"[1001.64608, 1031.691264, 143.0996992, 145.36704]"
1249.jpg,animal,"[1007.616, 1025.834496, 152.5407744, 146.8234752]"
125.jpg,animal,"[0.0, 1007.1843840000001, 215.3472, 268.328448]"
1250.jpg,animal,"[1377.29024, 1115.761152, 387.629056, 130.58810880000001]"
1251.jpg,animal,"[250.529792, 1043.570688, 170.9756416, 238.14297600000003]"
1252.jpg,animal,"[139.1939584, 1160.4986880000001, 263.602176, 136.4447232]"
1253.jpg,animal,"[248.608768, 1040.5616639999998, 174.1432832, 250.054656]"
1254.jpg,animal,"[248.866816, 1038.776832, 171.2644096, 242.589696]"
1255.jpg,animal,"[179.5262464, 1109.505024, 257.824768, 178.54464]"
1256.jpg,animal,"[192.7892992, 1108.6341120000002, 234.012672, 176.07168]"
1257.jpg,animal,"[184.8254464, 1106.445312, 250.867712, 180.553728]"
1258.jpg,animal,"[185.939968, 1135.460352, 313.276416, 163.719168]"
1259.jpg,animal,"[140.8466944, 1137.140736, 320.671744, 166.47628799999998]"
126.jpg,animal,"[0.0, 1055.4163199999998, 309.76, 190.66521600000002]"
1260.jpg,animal,"[115.9047168, 1113.851904, 242.999296, 162.028032]"
1261.jpg,animal,"[217.264128, 934.0815360000001, 175.8550016, 84.78704640000001]"
1262.jpg,animal,"[829.528064, 1043.326464, 235.948032, 114.75133439999999]"
1263.jpg,animal,"[499.146752, 975.011328, 186.438656, 110.11768319999999]"
1264.jpg,animal,"[1148.858368, 1082.3055359999998, 338.978816, 132.7059456]"
1265.jpg,animal,"[1483.743232, 1078.7466239999999, 127.0593536, 142.62082560000002]"
1266.jpg,animal,"[1435.42272, 1102.228992, 310.532096, 131.263488]"
1267.jpg,animal,"[1486.217216, 1077.075456, 246.628352, 160.45056]"
1268.jpg,animal,"[1498.597376, 1083.17184, 231.114752, 151.9209984]"
1269.jpg,animal,"[1490.5344, 1074.3168, 242.171904, 160.559616]"
127.jpg,animal,"[0.0, 972.18816, 140.3938816, 288.0]"
1270.jpg,animal,"[1504.786432, 1079.482368, 251.410432, 149.647104]"
1271.jpg,animal,"[452.3008, 1235.200512, 515.995648, 271.12704]"
1272.jpg,animal,"[898.322432, 1184.088576, 476.588032, 244.38988799999998]"
1273.jpg,animal,"[1330.006016, 1097.943552, 324.067328, 197.615616]"
1274.jpg,animal,"[1624.229888, 1052.917248, 253.069312, 164.293632]"
1275.jpg,animal,"[618.622976, 1212.667392, 683.75552, 260.48409599999997]"
1276.jpg,animal,"[627.64032, 1206.841344, 672.1024, 262.353408]"
1277.jpg,animal,"[619.165696, 1206.841344, 680.577024, 265.17657599999995]"
1278.jpg,animal,"[591.173632, 1199.33952, 666.94144, 289.688064]"
1279.jpg,animal,"[466.880512, 1199.33952, 774.285312, 272.74752]"
128.jpg,animal,"[0.0, 1029.159936, 329.480192, 250.51545599999997]"
1280.jpg,animal,"[1801.734144, 1070.1235199999999, 207.5648, 136.46714880000002]"
1281.jpg,animal,"[1607.655424, 1106.621952, 247.17312, 176.910336]"
1282.jpg,animal,"[1390.30528, 1106.376192, 381.884416, 219.021312]"
1283.jpg,animal,"[1814.673408, 1071.7056, 190.9946368, 136.4064768]"
1284.jpg,animal,"[1374.4128, 1126.937088, 368.193536, 221.72160000000002]"
1285.jpg,animal,"[1391.792128, 1282.776576, 488.695808, 214.588416]"
1286.jpg,animal,"[819.437568, 800.1024, 335.72864, 371.04384]"
1287.jpg,animal,"[1034.09664, 1110.944256, 598.960128, 372.483072]"
1288.jpg,animal,"[822.016, 799.4572800000001, 337.57184, 372.02380800000003]"
1289.jpg,animal,"[819.734528, 797.1932159999999, 338.921472, 346.891776]"
129.jpg,animal,"[21.7511936, 1051.2476159999999, 519.768064, 208.94054400000002]"
1290.jpg,animal,"[820.219904, 801.8703360000001, 343.771136, 339.022848]"
1291.jpg,animal,"[799.739904, 897.498624, 371.85536, 261.413376]"
1292.jpg,animal,"[842.254336, 729.792, 236.050432, 440.595456]"
1293.jpg,animal,"[843.761664, 725.955072, 233.101312, 425.327616]"
1294.jpg,animal,"[834.4576, 727.2192, 240.244736, 387.608064]"
1295.jpg,animal,"[831.63136, 732.865536, 240.244736, 418.66751999999997]"
1296.jpg,animal,"[819.367936, 725.950464, 247.087104, 459.21638399999995]"
1297.jpg,animal,"[1492.00896, 536.042496, 89.6108544, 118.39165440000001]"
1298.jpg,animal,"[1436.194816, 591.446016, 107.3747968, 95.795712]"
1299.jpg,animal,"[1291.737088, 614.616576, 141.713408, 113.89701120000001]"
13.jpg,animal,"[1637.3779200000001, 959.823, 191.452992, 89.391924]"
130.jpg,animal,"[134.7442688, 1045.599744, 440.672256, 248.47104]"
1300.jpg,animal,"[1189.113856, 657.621504, 157.0732032, 124.00235520000001]"
1301.jpg,animal,"[858.44992, 691.757568, 316.91776, 252.16358400000001]"
1302.jpg,animal,"[858.089472, 697.864704, 317.560832, 262.367232]"
1303.jpg,animal,"[858.089472, 689.393664, 317.560832, 270.83673600000003]"
1304.jpg,animal,"[865.568768, 688.805376, 305.379328, 267.161088]"
1305.jpg,animal,"[876.867584, 694.451712, 305.379328, 258.69004800000005]"
1306.jpg,animal,"[1600.452608, 627.950592, 144.3344384, 178.756608]"
1307.jpg,animal,"[1612.732416, 634.2589439999999, 148.619264, 163.158528]"
